Week Ending,Provider State,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
2020-05-24,PR,0.0,0.0,0.0,0.0,0.0,141.0,37.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0
2020-05-24,RI,182.0,1277.0,374.0,608.0,362.0,8137.0,6116.0,0.0,0.0,650.0,184.0,2.0,15.0,0.0,16283.3,4742.0,1376.9999999999998
2020-05-24,SC,173.0,869.0,515.0,1003.0,160.0,19125.0,15705.0,0.0,0.0,490.0,538.0,4.0,22.0,0.0,11230.400000000001,2390.0999999999995,768.3
2020-05-24,SD,24.0,17.0,132.0,185.0,21.0,6367.0,5266.0,0.0,0.0,69.0,307.0,0.0,5.0,4.0,182.10000000000002,164.60000000000002,319.0
2020-05-24,TN,169.0,374.0,557.0,1667.0,87.0,35152.0,24435.0,0.0,0.0,283.0,570.0,0.0,196.0,40.0,4621.7,1125.0000000000002,807.6
2020-05-24,TX,346.0,1950.0,1171.0,2410.0,315.0,122554.0,76951.0,0.0,0.0,1133.0,972.0,2.0,422.0,135.0,29990.30000000001,5349.599999999999,3225.100000000001
2020-05-24,UT,63.0,40.0,76.0,63.0,11.0,7088.0,4844.0,0.0,0.0,73.0,146.0,0.0,148.0,0.0,818.0,275.6,284.1
2020-05-24,VA,402.0,1248.0,1129.0,1049.0,293.0,31083.0,24098.0,0.0,0.0,695.0,1023.0,2.0,129.0,32.0,16665.3,4432.399999999999,3450.4
2020-05-24,VT,8.0,96.0,141.0,206.0,31.0,2938.0,2183.0,0.0,0.0,62.0,162.0,0.0,9.0,0.0,1508.3,479.2,63.599999999999994
2020-05-24,WA,238.0,726.0,522.0,602.0,210.0,18216.0,12994.0,0.0,0.0,420.0,544.0,0.0,134.0,15.0,11522.9,3549.9000000000005,2071.2999999999997
2020-05-24,WI,181.0,539.0,630.0,1157.0,82.0,27471.0,19667.0,0.0,0.0,327.0,1152.0,0.0,120.0,8.0,9341.4,1517.3999999999999,852.5000000000002
2020-05-24,WV,25.0,222.0,136.0,642.0,39.0,10504.0,8754.0,0.0,0.0,160.0,113.0,0.0,0.0,0.0,3419.8999999999996,604.0,100.60000000000001
2020-05-24,WY,7.0,10.0,16.0,77.0,2.0,2624.0,1991.0,0.0,0.0,11.0,54.0,0.0,0.0,0.0,158.7,31.7,20.0
2020-05-31,AK,1.0,10.0,22.0,17.0,0.0,763.0,671.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,250.39999999999998,0.0,0.0
2020-05-31,AL,260.0,1200.0,1029.0,1338.0,261.0,26172.0,20528.0,0.0,0.0,813.0,1193.0,4.0,25.0,0.0,17247.499999999993,4204.7,1265.5999999999997
2020-05-31,AR,51.0,352.0,616.0,817.0,54.0,22959.0,15434.0,0.0,0.0,241.0,405.0,0.0,0.0,0.0,7359.599999999999,1073.1,163.2
2020-05-31,AZ,358.0,400.0,354.0,668.0,101.0,15135.0,9920.0,0.0,0.0,357.0,422.0,1.0,277.0,11.0,6913.2,1522.3000000000006,1479.6
2020-05-31,CA,2658.0,6620.0,6708.0,5604.0,1545.0,113507.0,88373.0,0.0,0.0,4410.0,4031.0,31.0,3008.0,445.0,92085.99999999999,22717.600000000006,18205.099999999988
2020-05-31,CO,336.0,941.0,711.0,1082.0,353.0,19802.0,14488.0,0.0,0.0,769.0,664.0,3.0,27.0,3.0,14699.300000000001,5759.299999999999,2570.6999999999994
2020-05-31,CT,1488.0,5855.0,2313.0,3074.0,1663.0,24078.0,17457.0,0.0,0.0,2446.0,1121.0,11.0,44.0,0.0,68547.10000000002,19602.90000000001,5032.7
2020-05-31,DC,156.0,430.0,251.0,168.0,81.0,2316.0,1722.0,0.0,0.0,218.0,78.0,6.0,20.0,0.0,4042.8,927.6,437.1
2020-05-31,DE,143.0,637.0,282.0,360.0,199.0,4849.0,3307.0,0.0,0.0,323.0,179.0,1.0,7.0,0.0,7615.499999999999,2511.0,990.7
2020-05-31,FL,909.0,2252.0,1528.0,2384.0,601.0,79588.0,62449.0,0.0,0.0,1656.0,1557.0,1.0,186.0,36.0,26309.399999999983,7460.599999999999,6183.8
2020-05-31,GA,813.0,2786.0,1933.0,1684.0,531.0,37058.0,28290.0,0.0,0.0,1444.0,1116.0,4.0,118.0,19.0,34387.90000000001,6766.700000000003,5951.500000000001
2020-05-31,GU,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,HI,0.0,1.0,126.0,108.0,0.0,4211.0,3503.0,0.0,0.0,0.0,116.0,0.0,90.0,20.0,5.0,0.0,0.0
2020-05-31,IA,186.0,858.0,956.0,1127.0,237.0,28489.0,20960.0,0.0,0.0,572.0,1493.0,10.0,94.0,19.0,18049.599999999995,4876.800000000001,2161.6999999999994
2020-05-31,ID,10.0,58.0,46.0,123.0,14.0,5682.0,3711.0,0.0,0.0,50.0,59.0,0.0,10.0,0.0,1570.2,384.8,45.9
2020-05-31,IL,2703.0,7061.0,3471.0,4430.0,1847.0,86387.0,56318.0,0.0,0.0,4152.0,2883.0,26.0,400.0,65.0,82353.10000000006,22599.299999999996,13042.900000000001
