Provider State,Provider Zip Code,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
ND,4671602,17.0,254.0,143.0,2149.0,0.0,524.0,83.0,1720.0,58.0,503.0,5735.0,4385.0,273.0,649.0,172.0,3423.0,0.0,2187.0,0.0,9.0,0.0,0.0,2757.1,1185.5999999999997,39880.00000000001,9787.699999999999,1658.9999999999998
ME,411850,4.0,107.0,87.0,629.0,0.0,782.0,57.0,1419.0,13.0,91.0,6611.0,5113.0,330.0,1449.0,93.0,540.0,0.0,1485.0,0.0,0.0,6.0,0.0,1655.0,261.9,12278.7,1810.3,343.2
OR,12552811,14.0,716.0,79.0,939.0,0.0,1095.0,167.0,2803.0,9.0,165.0,9257.0,6274.0,932.0,3862.0,115.0,1096.0,0.0,1267.0,0.0,1.0,0.0,0.0,1851.8,213.5,18872.000000000004,3122.7999999999997,600.3000000000002
MT,4166915,16.0,193.0,74.0,1121.0,0.0,352.0,29.0,829.0,22.0,206.0,5539.0,2924.0,971.0,2442.0,68.0,1096.0,0.0,974.0,1.0,4.0,0.0,0.0,2097.1,449.5,24413.899999999998,4255.8,807.2999999999997
ID,6851313,6.0,263.0,73.0,1249.0,0.0,495.0,36.0,706.0,18.0,178.0,5679.0,3311.0,1264.0,2985.0,80.0,1525.0,0.0,1053.0,0.0,0.0,13.0,0.0,2191.2000000000003,465.09999999999997,29625.199999999997,4382.5,670.7
VT,192779,3.0,43.0,68.0,258.0,0.0,355.0,16.0,584.0,5.0,43.0,2938.0,2118.0,332.0,257.0,29.0,147.0,0.0,596.0,0.0,0.0,9.0,0.0,738.8,60.5,3279.1,548.1,96.6
NH,253630,6.0,240.0,60.0,1364.0,0.0,1157.0,38.0,1748.0,6.0,303.0,7019.0,5335.0,821.0,772.0,61.0,954.0,0.0,1589.0,0.0,2.0,15.0,0.0,1039.1000000000001,139.8,17441.7,3624.5,682.7999999999997
WY,2972374,7.0,83.0,56.0,540.0,0.0,244.0,32.0,533.0,15.0,110.0,2821.0,1903.0,329.0,770.0,61.0,664.0,0.0,436.0,0.0,3.0,0.0,0.0,897.6999999999998,270.7,9453.999999999998,1741.4999999999998,284.20000000000005
DE,912843,9.0,476.0,24.0,1252.0,0.0,527.0,18.0,871.0,4.0,295.0,4826.0,3426.0,588.0,98.0,47.0,1041.0,0.0,485.0,0.0,1.0,6.0,0.0,297.2,61.0,14526.700000000003,3242.2000000000003,984.6000000000001
AK,1993695,1.0,38.0,13.0,96.0,0.0,75.0,3.0,85.0,1.0,7.0,830.0,634.0,26.0,65.0,8.0,187.0,0.0,289.0,0.0,0.0,0.0,0.0,236.3,12.0,3042.9,299.4,24.0
DC,380328,1.0,372.0,5.0,517.0,0.0,345.0,8.0,367.0,1.0,97.0,2577.0,1941.0,58.0,107.0,22.0,458.0,0.0,120.0,0.0,6.0,14.0,0.0,52.7,8.8,4202.099999999999,896.7000000000002,366.5
PR,4716,0.0,3.0,1.0,12.0,0.0,3.0,0.0,4.0,0.0,0.0,182.0,45.0,2.0,0.0,0.0,22.0,0.0,14.0,0.0,0.0,12.0,0.0,71.4,0.0,1123.8,0.0,0.0
HI,4161586,2.0,63.0,0.0,222.0,0.0,628.0,21.0,525.0,0.0,59.0,4145.0,3128.0,245.0,2073.0,2.0,187.0,0.0,639.0,0.0,2.0,89.0,20.0,0.0,0.0,2832.7000000000003,900.0,278.8
GU,96913,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
